name|sid|call|icon|city|state|tagline
KPLU-FM|148|KPLU|http://media.npr.org/images/stations/logos/kplu_fm.gif|Tacoma|WA|NPR News and All That Jazz
KQED-FM|151|KQED|http://media.npr.org/images/stations/logos/kqed_fm.gif|San Francisco|CA|KQED Public Radio for Northern California
KRCC-FM|154|KRCC|http://media.npr.org/images/stations/logos/krcc_fm.gif|Colorado Springs|CO|Public Radio for Southern Colorado and a wee bit of Northern New Mexico
KRCU-FM|155|KRCU|http://media.npr.org/images/stations/logos/krcu_fm.gif|Cape Girardeau|MO|KRCU at Southeast Missouri State University
Northwest Public Radio|156|None|None|Moscow|None|Northwest Public Radio, NPR and Classical Music
KRFA-FM|157|KRFA|http://media.npr.org/images/stations/logos/krfa_fm.gif|Moscow|ID|Northwest Public Radio, NPR and Classical Music
KFAE-FM|158|KFAE|http://media.npr.org/images/stations/logos/kfae_fm.gif|Richland|WA|Northwest Public Radio, NPR and Classical Music
KNWO-FM|159|KNWO|http://media.npr.org/images/stations/logos/knwo_fm.gif|Cottonwood|ID|Northwest Public Radio, NPR and Classical Music
KNWP-FM|160|KNWP|http://media.npr.org/images/stations/logos/knwp_fm.gif|Port Angeles|WA|Northwest Public Radio, NPR and Classical Music
KNWR-FM|161|KNWR|http://media.npr.org/images/stations/logos/knwr_fm.gif|Ellensburg|WA|Northwest Public Radio, NPR and Classical Music
KNWV-FM|162|KNWV|http://media.npr.org/images/stations/logos/knwv_fm.gif|Clarkston|WA|Northwest Public Radio, NPR and Classical Music
KNWY-FM|163|KNWY|http://media.npr.org/images/stations/logos/knwy_fm.gif|Yakima|WA|Northwest Public Radio, NPR and Classical Music
KZAZ-FM|164|KZAZ|http://media.npr.org/images/stations/logos/kzaz_fm.gif|Bellingham|WA|Northwest Public Radio, NPR and Classical Music
KRVS-FM|166|KRVS|http://media.npr.org/images/stations/logos/krvs_fm.gif|Lafayette|LA|Radio Acadie
KRWG-FM|167|KRWG|http://media.npr.org/images/stations/logos/krwg_fm.gif|Las Cruces|NM|Your New Mexico National Public Radio Station
KSKA-FM|169|KSKA|http://media.npr.org/images/stations/logos/kska_fm.gif|Anchorage|AK|Your Choice for NPR News and Information
